Entrez Gene ID;WormBase Gene ID
171590;WBGene00022277
171591;WBGene00022276
171592;WBGene00022278
171593;WBGene00022279
171594;WBGene00021677
171595;WBGene00021678
171597;WBGene00021679
171599;WBGene00021676
171601;WBGene00004274
171602;WBGene00004418
171603;WBGene00018774
171604;WBGene00018773
171605;WBGene00000622
171606;WBGene00004962
171607;WBGene00003229
171608;WBGene00000253
171609;WBGene00004225
171610;WBGene00018958
171611;WBGene00018955
171613;WBGene00004246
171615;WBGene00021667
171616;WBGene00016903
171617;WBGene00016905
171618;WBGene00016902
171619;WBGene00016906
171621;WBGene00002079
171622;WBGene00021660
171623;WBGene00000917
171624;WBGene00021661
171625;WBGene00021658
171626;WBGene00020087
171627;WBGene00020091
171628;WBGene00020089
171630;WBGene00006385
171631;WBGene00020090
171633;WBGene00021733
171634;WBGene00015570
171635;WBGene00006593
171636;WBGene00021026
171637;WBGene00021025
171638;WBGene00021024
171639;WBGene00001814
171640;WBGene00022035
171641;WBGene00022036
171642;WBGene00022034
171643;WBGene00022037
171644;WBGene00022033
171645;WBGene00022043
171646;WBGene00022042
171647;WBGene00007009
171648;WBGene00002393
171649;WBGene00001725
171650;WBGene00002040
171652;WBGene00018923
171653;WBGene00018921
171654;WBGene00022027
171655;WBGene00022026
171656;WBGene00022025
171657;WBGene00022031
171658;WBGene00022032
171659;WBGene00021214
171660;WBGene00021207
171661;WBGene00021210
171662;WBGene00021208
171663;WBGene00021209
171664;WBGene00004332
171665;WBGene00004028
171666;WBGene00021213
171667;WBGene00021212
171668;WBGene00020283
171669;WBGene00020281
171670;WBGene00022518
171671;WBGene00022517
171672;WBGene00022519
171674;WBGene00022386
171675;WBGene00001678
171677;WBGene00003238
171678;WBGene00018787
171679;WBGene00018786
171680;WBGene00016930
171681;WBGene00005002
171682;WBGene00021327
171683;WBGene00004952
171684;WBGene00021329
171685;WBGene00021331
171687;WBGene00001745
171688;WBGene00019911
171689;WBGene00022837
171691;WBGene00000165
171692;WBGene00004429
171693;WBGene00021687
171694;WBGene00001816
171696;WBGene00004880
171697;WBGene00021686
171698;WBGene00021690
171699;WBGene00021691
171700;WBGene00021685
171702;WBGene00021693
171704;WBGene00019673
171705;WBGene00022371
171706;WBGene00022368
171707;WBGene00022369
171709;WBGene00022370
171710;WBGene00022373
171711;WBGene00018159
171712;WBGene00004969
171713;WBGene00018580
171714;WBGene00018579
171715;WBGene00001115
171716;WBGene00022361
171719;WBGene00022358
171720;WBGene00023198
171722;WBGene00005077
171723;WBGene00022269
171724;WBGene00022273
171725;WBGene00022268
171726;WBGene00022274
171727;WBGene00003111
171728;WBGene00004168
171729;WBGene00022156
171730;WBGene00022155
171731;WBGene00022158
171734;WBGene00006702
171735;WBGene00022152
171736;WBGene00006771
171737;WBGene00022159
171738;WBGene00022150
171739;WBGene00022149
171740;WBGene00022160
171742;WBGene00022161
171743;WBGene00022148
171744;WBGene00022146
171745;WBGene00022162
171746;WBGene00022144
171747;WBGene00022141
171748;WBGene00022163
171749;WBGene00016907
171750;WBGene00004441
171751;WBGene00001196
171752;WBGene00001309
171753;WBGene00003750
171755;WBGene00006461
171756;WBGene00004743
171758;WBGene00022139
171759;WBGene00022140
171761;WBGene00021768
171762;WBGene00021346
171763;WBGene00021347
171764;WBGene00021348
171765;WBGene00021349
171766;WBGene00004409
171767;WBGene00021350
171768;WBGene00004014
171769;WBGene00021351
171770;WBGene00021352
171771;WBGene00021353
171773;WBGene00021354
171774;WBGene00003799
171775;WBGene00021355
171776;WBGene00021009
171777;WBGene00021008
171778;WBGene00021005
171779;WBGene00021006
171780;WBGene00021007
171781;WBGene00017398
171782;WBGene00000020
171783;WBGene00021458
171784;WBGene00000408
171785;WBGene00021469
171786;WBGene00021470
171787;WBGene00021468
171788;WBGene00002047
171789;WBGene00021467
171790;WBGene00021476
171791;WBGene00021475
171792;WBGene00021466
171793;WBGene00003156
171794;WBGene00021471
171795;WBGene00021472
171797;WBGene00021474
171798;WBGene00021460
171799;WBGene00017741
171800;WBGene00017734
171801;WBGene00017735
171802;WBGene00017737
171803;WBGene00017738
171804;WBGene00017733
171805;WBGene00002141
171806;WBGene00022280
171807;WBGene00022281
171808;WBGene00022282
171809;WBGene00001232
171810;WBGene00021277
171811;WBGene00021276
171812;WBGene00021278
171813;WBGene00006047
171814;WBGene00000006
171816;WBGene00004226
171817;WBGene00019461
171818;WBGene00000832
171819;WBGene00021270
171820;WBGene00021269
171821;WBGene00000800
171822;WBGene00000801
171824;WBGene00018232
171827;WBGene00017979
171828;WBGene00017980
171829;WBGene00000788
171830;WBGene00017978
171831;WBGene00017975
171832;WBGene00003006
171833;WBGene00001048
171834;WBGene00004920
171835;WBGene00022127
171836;WBGene00022126
171837;WBGene00022129
171838;WBGene00004043
171839;WBGene00022130
171840;WBGene00004946
171841;WBGene00022131
171842;WBGene00020990
171843;WBGene00020991
171844;WBGene00020985
171846;WBGene00002174
171847;WBGene00020987
171848;WBGene00020986
171849;WBGene00004077
171850;WBGene00021128
171852;WBGene00022115
171853;WBGene00004412
171854;WBGene00022114
171855;WBGene00022113
171856;WBGene00022118
171857;WBGene00000199
171858;WBGene00304792
171859;WBGene00022111
171860;WBGene00022119
171861;WBGene00022110
171863;WBGene00022108
171864;WBGene00022107
171865;WBGene00022122
171866;WBGene00003836
171867;WBGene00022121
171868;WBGene00000237
171869;WBGene00022124
171870;WBGene00001046
171872;WBGene00003186
171873;WBGene00000625
171874;WBGene00021843
171875;WBGene00021842
171876;WBGene00021844
171877;WBGene00021845
171878;WBGene00021841
171879;WBGene00003387
171880;WBGene00021846
171881;WBGene00021840
171882;WBGene00000205
171883;WBGene00019698
171884;WBGene00003654
171885;WBGene00016663
171886;WBGene00003062
171887;WBGene00019595
171888;WBGene00006888
171889;WBGene00021829
171890;WBGene00021828
171891;WBGene00021827
171892;WBGene00021830
171893;WBGene00021831
171894;WBGene00021832
171895;WBGene00001481
171896;WBGene00000413
171897;WBGene00021826
171898;WBGene00021834
171900;WBGene00021552
171901;WBGene00020915
171903;WBGene00020917
171904;WBGene00020913
171905;WBGene00000036
171906;WBGene00021549
171907;WBGene00021551
171908;WBGene00021035
171909;WBGene00021038
171911;WBGene00019362
171912;WBGene00004775
171913;WBGene00006440
171914;WBGene00003422
171915;WBGene00004978
171916;WBGene00021638
171917;WBGene00000794
171918;WBGene00021637
171919;WBGene00021644
171920;WBGene00021636
171921;WBGene00021645
171922;WBGene00004389
171923;WBGene00021634
171924;WBGene00021646
171925;WBGene00021647
171926;WBGene00003060
171927;WBGene00021648
171928;WBGene00021649
171929;WBGene00002144
171930;WBGene00002143
171931;WBGene00021650
171932;WBGene00020902
171933;WBGene00000368
171934;WBGene00001501
171935;WBGene00004272
171936;WBGene00017025
171937;WBGene00017026
171938;WBGene00003418
171939;WBGene00002042
171941;WBGene00001601
171942;WBGene00004147
171943;WBGene00002135
171944;WBGene00002134
171945;WBGene00016324
171946;WBGene00016323
171947;WBGene00016322
171948;WBGene00016321
171949;WBGene00004425
171950;WBGene00004217
171951;WBGene00016325
171952;WBGene00006751
171953;WBGene00016326
171954;WBGene00003797
171955;WBGene00023066
171956;WBGene00006833
171957;WBGene00018765
171958;WBGene00018764
171959;WBGene00018763
171960;WBGene00020187
171961;WBGene00020188
171962;WBGene00020192
171963;WBGene00020190
171964;WBGene00001832
171965;WBGene00020185
171966;WBGene00000764
171967;WBGene00020191
171968;WBGene00020184
171969;WBGene00020193
171970;WBGene00016837
171972;WBGene00016836
171973;WBGene00016839
171974;WBGene00001430
171975;WBGene00003950
171976;WBGene00020625
171977;WBGene00020626
171978;WBGene00020628
171979;WBGene00020629
171980;WBGene00020652
171981;WBGene00003072
171982;WBGene00018525,WBGene00018530
171983;WBGene00018531
171984;WBGene00018525
171985;WBGene00000197
171986;WBGene00000779
171987;WBGene00017908
171988;WBGene00006805
171990;WBGene00006820
171992;WBGene00016066
171993;WBGene00000867
171994;WBGene00003029
171995;WBGene00002696
171996;WBGene00017085
171997;WBGene00017088
171998;WBGene00017084
171999;WBGene00017089
172000;WBGene00020040
172001;WBGene00020039
172002;WBGene00020033
172003;WBGene00020034
172004;WBGene00002137
172005;WBGene00002138
172006;WBGene00002139
172007;WBGene00020035
172008;WBGene00020036
172009;WBGene00004464
172010;WBGene00020038
172011;WBGene00020031
172012;WBGene00020030
172013;WBGene00004093
172015;WBGene00015974
172016;WBGene00015972
172017;WBGene00001985
172018;WBGene00015971
172019;WBGene00015970
172020;WBGene00015976
172021;WBGene00003516
172022;WBGene00016605
172023;WBGene00016606
172024;WBGene00007001
172025;WBGene00016608
172026;WBGene00016603
172027;WBGene00016602
172028;WBGene00016607
172029;WBGene00000382
172030;WBGene00016601
172031;WBGene00021632
172032;WBGene00021629
172033;WBGene00021628
172034;WBGene00000140
172035;WBGene00022832
172036;WBGene00022835
172037;WBGene00003061
172038;WBGene00022831
172039;WBGene00022836
172040;WBGene00022830
172041;WBGene00000962
172044;WBGene00001231
172045;WBGene00000787
172046;WBGene00016564
172047;WBGene00016566
172050;WBGene00016561
172051;WBGene00020131
172052;WBGene00022470
172053;WBGene00022471
172054;WBGene00022473
172056;WBGene00022467
172058;WBGene00017010
172059;WBGene00000440
172060;WBGene00017003
172061;WBGene00004479
172062;WBGene00004436
172064;WBGene00017004
172065;WBGene00017011
172066;WBGene00017005
172067;WBGene00016654
172068;WBGene00016650
172070;WBGene00016653
172071;WBGene00016655
172072;WBGene00016652
172073;WBGene00015008
172074;WBGene00004415
172075;WBGene00015009
172076;WBGene00015007
172077;WBGene00006961
172078;WBGene00006791
172079;WBGene00007053
172081;WBGene00021112
172082;WBGene00021113
172083;WBGene00021114
172085;WBGene00015695
172086;WBGene00015693
172087;WBGene00015692
172088;WBGene00002694
172089;WBGene00015691
172090;WBGene00015698
172091;WBGene00019769
172092;WBGene00019767
172093;WBGene00019771
172094;WBGene00023067
172095;WBGene00023068
172096;WBGene00006984
172097;WBGene00018797
172098;WBGene00019013
172099;WBGene00002034
172100;WBGene00019011
172101;WBGene00019008
172102;WBGene00015303
172103;WBGene00001592
172104;WBGene00017795
172105;WBGene00006774
172106;WBGene00017673
172107;WBGene00017672
172108;WBGene00017671
172109;WBGene00017675
172110;WBGene00002075
172111;WBGene00017886
172114;WBGene00017889
172115;WBGene00017887
172116;WBGene00001860
172117;WBGene00021015
172118;WBGene00000155
172119;WBGene00004900
172120;WBGene00003906
172121;WBGene00021017
172122;WBGene00001117
172123;WBGene00003221
172124;WBGene00001050
172125;WBGene00006058
172126;WBGene00018789
